postcode_area,population,Males,Females,Occupied_Households
BS,940076,464261,475815,398197
B,1904293,935830,968463,750842
BN,802838,390323,412515,356367
BD,578374,284531,293843,223952
BL,379929,187269,192660,159979
CA,318114,156695,161419,140587
BR,299157,143321,155836,124954
BH,552110,269591,282519,242907
AL,249911,122836,127075,99209
CH,659880,320219,339661,285880
BA,434539,212699,221840,183530
CB,421151,210893,210258,167640
CF,1005305,492838,512467,419896
BB,488564,241436,247128,202015
GL,605458,296968,308490,257602
EX,547401,265359,282042,235895
E,989127,503103,486024,370669
FY,276593,134622,141971,125986
CV,821033,407112,413921,341504
DN,756058,372853,383205,320303
DL,360734,178401,182333,156814
CT,482627,234083,248544,206290
EN,344780,166057,178723,137907
DE,730125,360478,369647,306586
EC,33956,18003,15953,17102
CR,405236,196881,208355,158695
DY,410847,202390,208457,171692
CM,653626,319878,333748,270044
DA,430139,209483,220656,173329
DG,65,30,35,26
CW,309487,152178,157309,130803
DT,212796,104421,108375,93053
DH,309030,151412,157618,132814
CO,411411,200529,210882,176939
LA,328926,160542,168384,143213
HR,176308,86782,89526,75400
LN,293141,143132,150009,126372
LL,537252,263800,273452,232655
HP,488592,240647,247945,195951
L,856675,417429,439246,370680
GU,726120,358503,367617,288537
KT,529633,257913,271720,214274
HA,480678,238139,242539,169132
HD,262843,129754,133089,111694
LD,50225,24705,25520,22291
LS,774677,379007,395670,330676
LE,985352,486813,498539,391460
HU,443219,219677,223542,191836
IG,335693,166444,169249,119754
IP,595883,295029,300854,252895
HX,160137,78317,81820,68980
HG,138214,67289,70925,59455
MK,508035,251123,256912,202926
NW,553732,271417,282315,222208
OL,462590,227222,235368,188194
NP,488569,239557,249012,206539
NE,1162976,569616,593360,510229
M,1167414,579867,587547,492884
NR,722618,353357,369261,315784
ME,606891,299833,307058,245786
NN,653055,321652,331403,272356
N,847197,415152,432045,344938
NG,1163617,575040,588577,493228
LU,336095,167546,168549,129149
RG,778419,386447,391972,314408
PL,543016,265746,277270,232152
RH,531923,260632,271291,217143
SA,730075,358315,371760,315791
PO,822540,402989,419551,352453
OX,613492,303045,310447,242551
SG,402479,198427,204052,167182
S,1358186,667956,690230,578058
SE,988126,486767,501359,412444
PE,890470,437509,452961,373108
PR,520366,256719,263647,219388
RM,517305,250410,266895,205322
SL,373407,184234,189173,144554
SM,217171,105716,111455,87907
SW,877183,431798,445385,382790
SO,665472,328141,337331,276330
TW,491918,243525,248393,193508
SP,232282,115015,117267,94658
TR,294061,142337,151724,127803
TS,602320,294187,308133,256341
TN,681747,331666,350081,286228
TD,18331,8838,9493,8262
TQ,281112,135726,145386,125365
SK,603540,295459,308081,260549
SN,458798,227418,231380,191252
SY,341952,169199,172753,144660
SS,518631,252980,265651,216682
TF,212536,105601,106935,85637
TA,322408,156457,165951,139414
SR,250843,121969,128874,109612
ST,644416,320336,324080,275646
WC,35745,18354,17391,15757
YO,562761,274309,288452,242140
WA,616482,302972,313510,261804
WF,512784,252211,260573,214107
W,531690,263928,267762,236493
WS,449728,221557,228171,181669
WR,287838,141036,146802,122730
WD,256476,125461,131015,103336
WV,396187,195990,200197,162933
UB,371413,186585,184828,126879
WN,309156,153122,156034,131514
AB,0,0,0,0
JE,0,0,0,0
EH,0,0,0,0
KA,0,0,0,0
HS,0,0,0,0
ML,0,0,0,0
ZE,0,0,0,0
IV,0,0,0,0
GY,0,0,0,0
KY,0,0,0,0
PA,0,0,0,0
G,0,0,0,0
KW,0,0,0,0
PH,0,0,0,0
FK,0,0,0,0
DD,0,0,0,0
IM,0,0,0,0
BT,0,0,0,0